2St-LDR,GML-DR,DCLL,SOC
491.3774380302415,489.41200321870457,496.5654756708479,486.4397685184634
487.1175602935351,488.6749916715027,495.3923931958649,486.43193926672905
488.2843020189745,487.4626204254024,494.72135185590406,486.4199519812443
487.1544014260127,487.52021640055847,495.03231553415134,486.383565340447
488.2068765806175,487.4420746026167,494.7179822297233,486.34139078078505
487.29434658290546,487.3724273501199,493.1092462923725,486.3174583591775
487.4516060372778,487.3824164883522,493.22084189895565,486.33363834981117
487.3653667776417,487.9930451416873,491.190022757678,486.33138330340364
487.4469279545918,489.63040705228593,494.2179414234217,486.38511707360595
487.70828977265853,490.629636146689,494.519106966677,486.37704086066844
488.2868685373922,488.7116102721934,494.0292427494792,486.4119396763046
487.51406950103126,487.33523291397944,493.24788186138505,486.41785399946485
487.588951076001,487.1007911514654,493.1694768131036,486.46386439777854
487.9744136811063,487.4671720186137,491.7752244086358,486.5713417036665
488.76401551413255,486.8272410817517,489.1534636808377,486.6056428569283
487.28672757090044,487.0431025992463,488.12726462768205,486.73307429614044
487.93264004148733,487.02613037044705,488.35513204216124,486.88137357188134
488.153775972301,487.52759947788473,488.529331538105,486.99111608951864
488.55777790548,486.93202369419714,488.2664904125933,487.03002429941273
488.3380361489647,486.87105004515126,488.1578103490777,486.9867708375092
487.9629136037205,486.94582900875656,488.7148342909397,487.05263246793885
488.0976479908222,487.13241084882793,488.82572288803703,486.98248211739974
487.82821267956086,487.6003785543304,488.47192285039336,487.06182863360436
487.6719829638885,487.2723122518776,488.72385519739316,487.0032782035745
487.7702945980477,487.37640824219426,488.56412980126305,487.0968594546128
487.9957632554563,487.4290706935065,489.02276594511034,487.02597217315696
489.06409251073967,487.4172287129355,490.54122310135506,487.01089995231234
488.1931062182333,487.01724286512,490.29327522208996,487.1128039602034
489.5175981302218,487.7655059316586,489.5984406478298,487.1983454959979
488.1227598309573,487.57352505083554,489.0159474803918,487.1147930315075
488.2238689183765,487.1143295281565,489.0499273694142,487.00557826079574
488.1190585741921,487.06130770979854,489.2543002516216,486.9934097140475
488.137387791213,487.22872791308674,488.7292851196804,487.02545317078136
488.3422226771348,486.8902114887672,488.9999505868251,486.9789821980336
488.420662087095,487.00293425467254,488.4788238963667,486.967575030386
488.35244133796976,486.8935664120724,489.19137128417316,486.9244515541317
487.98853131942207,487.0509419542752,488.82935435775306,486.7937847213183
487.84686856293956,487.0133613664627,488.36682320522675,486.73218487570864
488.2903070900355,486.88171427326944,488.3784114749208,486.68658036334944
488.13554253649755,487.8177772620318,489.1349164839975,486.88301381535547
489.32750670423866,486.7954250135992,488.3524511676699,486.7761006692661
487.8655606541712,487.03424067285624,487.216399230421,486.68745232175314
488.6748481035803,486.67276325629655,486.96493962599027,486.7077430083285
487.35790610776183,487.70632603583164,487.26709021743716,486.71719284957965
490.217835371599,488.53639176205905,487.46813715363317,486.6749642568893
488.5104507647749,487.220703759095,487.142744537673,486.4985369673483
489.15602832869206,487.50482057603665,487.51818255297394,486.6645189601356
488.45327356820854,487.6452811953609,487.53787469340125,486.71820689327535
490.3236175943819,491.54819163841773,494.8535517421101,486.46547010204415
491.8854318815287,490.91346560576585,496.0300118604406,486.4595769362942
491.6678598953313,490.0028069175769,494.9597407985375,486.46572295996464
488.34393309416976,487.7287727989428,494.6489347524574,486.47878007202246
490.0295806160044,488.11719043825326,495.4102920409579,486.50704390144136
490.17350634154883,488.59385533189504,495.5682236043651,486.51807813890474
490.9356219264622,488.58451669567995,493.92899618571585,486.51177323511513
488.60653346300444,488.90502942200203,491.6774993651419,486.57783603517265
487.25555902562866,489.76209105507996,492.42987961963536,486.59311171534245
487.62962769976485,489.364270225719,491.1952506607242,486.6005123659309
490.7235441197542,489.07907324735714,493.6438544178898,486.6118043553694
488.23881803431766,487.88454217300676,492.2678257102357,486.60639682550493
491.5373284401314,487.976599274905,492.2578144049372,486.6691671312725
489.57473892363834,487.24455760556185,490.18177278955574,486.6624045250354
488.4906146651783,487.1333192177285,488.5689854763338,486.7288475014287
489.4806161305263,487.60912321511825,488.4851886474351,486.98417625920655
490.1449876753889,487.4335075500164,488.16327333235574,486.94176861516155
488.7644650095359,487.06119438921405,488.15962399073896,487.0103215843242
488.7253447046086,486.9158945519995,487.68449748744405,487.07465431726587
488.05574771317,486.91200853970577,488.53872758171275,487.1330247293173
487.91047578549404,486.73212737239976,488.6908869983433,487.14679422617445
487.7421537942006,486.97759298119684,488.3772180831214,487.2076628379638
489.270280640091,486.8978945746006,489.6155779423997,487.35792121304104
487.54955512179515,487.3517921041151,488.5185569775248,487.40092764807633
489.1202096665596,487.09249978370224,491.35105860230385,487.39035547103515
488.3780826549011,487.01128627722517,488.9362542147077,487.4483629616446
489.1008708931781,487.4798720081004,490.7433704258357,487.46047143347687
489.61443244538833,487.11630386090076,490.29079356917157,487.46630726002087
488.3114228679739,486.8948803047797,489.8232134671246,487.45731992748495
488.83022731551944,487.01693845990746,488.5387515936442,487.3821334840509
488.28887557049904,486.94533434141186,489.5095795978753,487.4246501171789
488.87410421088555,487.1401790818445,489.93323486248227,487.38389485605876
488.21561646315376,487.49945410005176,489.6022161117051,487.22689166251564
489.1428485436947,487.6504938702025,489.2541256996234,487.2898036655778
488.8098163703462,487.03596322085133,489.11105945755344,487.42845208646924
488.3259825093798,487.3807186122008,489.5059786487408,487.4347505028339
487.9642106388088,487.32990624218564,488.9129851914751,487.18695327088756
487.70153024927157,487.1499996357983,488.2502761632148,486.9990493803405
488.18563984890824,487.17533209432577,488.14942844702136,487.1295810727838
487.426350668778,487.91616853844937,489.1833841035765,487.2715005350263
487.6137737456238,488.3168264975185,488.3387444956844,487.35519692861556
488.08714686777637,487.0687707079096,486.85755683007056,486.97926202633926
487.9661562123389,486.74767068315776,487.73886534646965,487.0767290043447
488.0025277486155,486.98595004633205,487.22050133797165,486.94015949507303
487.6687058375031,487.0760061165426,487.3768094997002,486.99657924039786
488.80755146800703,487.40390996156464,487.09894758841665,486.99844903406813
490.5213414416324,489.01006530481646,487.4172500453283,487.412275633984
492.69727057465616,493.58937441814226,487.1916509072518,487.4398584924869
