GML-DR,DCLL,SOC
754.4380411076402,777.5000651388794,808.39146191929
763.9338127015435,778.6161308037656,810.4497359087477
785.9866799686756,776.4738316365374,810.4318435400083
798.9650234534897,774.1895110920148,810.4423713894863
813.4093404065882,771.6175127585612,810.3100922886454
815.2527405533946,769.690756237791,809.3646788843366
816.0761214220428,763.9602229253526,809.6296361744973
815.9278044939564,759.9185330443215,808.9811315866672
816.2248384806808,758.7161487106753,810.0848989444605
817.0593183012866,757.9903509856464,809.8935871312706
816.9420038699978,760.7144728418867,810.2634538875843
815.9311674960618,764.893555187324,810.2298093180908
814.9734425771874,776.083268362073,806.9890210623968
814.3931652596028,775.3553660707729,809.469570261239
813.3512123823888,776.9872382164215,806.435412035197
813.1122812015799,781.5748299383691,803.76047266804
804.8618803981434,786.2693470500913,793.0922070043873
806.2898779952249,786.9996462426633,794.806228574939
786.208330418676,787.0407923936033,795.7484303621592
758.1841473201359,783.0101201728759,794.778484126119
787.6337465139567,780.9496091705703,787.9572526300502
796.9792045296797,773.9760290997818,776.583212797999
802.3693851175619,766.827175226718,771.4982891208599
788.0815507309667,764.6808066370883,755.4577320962522
775.0347152285249,760.4479050181461,755.0043200632325
759.5944409641353,765.8616285179032,761.0840670780419
784.0274406120802,758.8419091307348,772.7181473276644
768.1636874444753,757.6595828696588,765.2516543577224
766.7909261363316,765.4111818579225,769.1487212847389
801.7427696771513,769.0581981318577,769.2150160717428
759.6712829783723,765.4972828454335,760.0092503283103
728.0438969154229,770.1136410121375,762.1179895248088
751.1738628393955,771.8778092125971,768.4138660134898
722.6577336306378,767.730738620023,750.6386385431216
734.0645028852999,775.5375839140122,762.0683852608834
705.1459454564006,767.6501682200304,760.8443896963369
719.5842626149821,771.9412835266903,735.1583918670707
707.622022963946,775.781590137983,743.9602088754466
723.9226473233679,777.568830549518,741.4438832896664
712.272654064274,778.4165649399346,728.123064313974
772.4580726724691,792.0033174249965,736.8381101791307
804.3579270580236,795.9480401497609,758.9049213487806
807.9254005836405,798.3318682485603,764.5351529332345
811.7771550293503,801.0668707823942,765.440419192272
806.7993508472589,793.534195321957,770.4462210663334
814.719814858749,800.4028567706356,788.6182171766468
814.9662528373694,800.9080967317402,782.9359446960024
815.3263396264077,797.0711832642471,792.0297225560246
817.36643800248,806.25785896623,811.4585252821596
818.1009043416572,802.3835813346869,811.4579775125437
817.7042232871696,805.8152785865863,811.5237436173679
817.5214211368775,800.2588723834264,811.5740501501193
817.6246037521263,796.0059956561496,811.4102383669313
817.5523331523607,794.1244281496903,811.3992603373346
817.5683990401894,800.3486654896047,810.8131674913677
817.2468737001973,796.3086154225991,811.2922217607369
816.0550258163016,794.4768775438704,811.3407731635045
816.1253598581076,804.0053246540949,811.036779529396
811.0775283889437,800.1905068085806,810.5345314158844
814.0413864671765,798.0680869350742,811.1047061356844
814.8690585904386,804.1979243956881,810.3864900272891
811.0535142359602,798.3829256703368,810.7395550799902
805.9612047823363,807.0523956047546,807.0746463980634
804.434799288345,806.5292618802507,810.6008814572381
799.1285430072628,807.3768430796312,811.8187972027611
787.4515992368827,805.4715193075425,811.0125075668489
788.0698127409845,803.4683560124454,766.2206543097622
735.3352819865137,797.1358770819222,754.4961078912702
769.7530685575643,790.0583106727498,746.9474851414313
782.8180496117515,789.8754023923361,760.55761781127
735.9829960997624,771.070931343801,739.8918575493474
718.4021048263588,781.6161297777758,754.4162551716479
758.8242849203803,766.2215854069902,745.8935557659299
750.3666020524627,784.9844170884469,748.4972624080244
759.4658226893457,772.9461093995488,752.3144989443666
793.5802109166256,781.0316618961466,794.4705010023529
757.7686567016194,781.8532321750729,795.4634344709691
754.4252426956816,796.8406123327378,778.2733904161771
735.9099137485754,788.3122362476504,777.0882003380447
726.4415625010873,787.6332078117692,786.1776499145394
791.217403649708,792.6741682299566,789.7076202098386
782.0193799545071,791.9785743266382,802.0264384575532
782.5333504908076,796.939099327117,791.7380220931328
769.2441459073468,804.7458255497274,738.5301893131789
762.0043241717357,795.274816894758,727.3592400914573
776.8404374053248,799.7203396837523,754.8186355518964
735.9596635746384,794.6978943788807,771.0713090788967
678.5051820668782,798.907472984408,781.3203602091523
740.2769510256798,796.4323245425782,792.5088156491465
772.0833156882261,798.7907230008044,810.0358570939472
804.7401749446402,801.7066053353444,809.1241160805272
809.4881364541553,796.4190897870487,808.5860350057526
807.5660917517047,787.2074697391735,808.4291407710223
816.4883193962507,786.175611358594,805.3821081189133
811.1723743997717,791.3580188304669,804.310819517889
813.9184447975906,789.8675395790939,795.8202596397342
